Model,First flight,Seats,Sector,Fuel burn,Fuel per seat
Airbus A330-200,1997,241,"6,000 nmi (11,000 km)",6.4 kg/km (23 lb/mi),3.32 L/100 km (71 mpg‑US)[85]
Airbus A330-200,1997,248,"5,549 nmi (10,277 km)",6.55 kg/km (23.2 lb/mi),3.3 L/100 km (71 mpg‑US)[93]
Airbus A330-300,1992,274,"5,548 nmi (10,275 km)",6.81 kg/km (24.2 lb/mi),3.11 L/100 km (76 mpg‑US)[93]
Airbus A330-800,2017,248,"4,650 nmi (8,610 km)",5.45 kg/km (19.3 lb/mi),2.75 L/100 km (86 mpg‑US)[94]
Airbus A330-900,2017,300,"4,650 nmi (8,610 km)",5.94 kg/km (21.1 lb/mi),2.48 L/100 km (95 mpg‑US)[94]
Airbus A340-300,1992,262,"6,000 nmi (11,000 km)",7.32 kg/km (26.0 lb/mi),3.49 L/100 km (67.4 mpg‑US)[85]
Airbus A350-900,2013,315,"4,972 nmi (9,208 km)",6.03 kg/km (21.4 lb/mi),2.39 L/100 km (98 mpg‑US)[86]
Airbus A350-900,2013,318,"5,534 nmi (10,249 km)",6.52 kg/km (23.1 lb/mi),2.56 L/100 km (92 mpg‑US)[93]
Airbus A350-900,2013,315,"6,542 nmi (12,116 km)",7.07 kg/km (25.1 lb/mi),2.81 L/100 km (84 mpg‑US)[95]
Airbus A350-1000,2016,327,"5,531 nmi (10,243 km)",7.46 kg/km (26.5 lb/mi),2.85 L/100 km (83 mpg‑US)[93]
Airbus A350-1000,2016,367,"5,531 nmi (10,243 km)",7.58 kg/km (26.9 lb/mi),2.58 L/100 km (91 mpg‑US)[93]
Airbus A380,2005,525,"7,200 nmi (13,300 km)",13.78 kg/km (48.9 lb/mi),3.27 L/100 km (72 mpg‑US)[96]
Airbus A380,2005,544,"6,000 nmi (11,000 km)",13.78 kg/km (48.9 lb/mi),3.16 L/100 km (74 mpg‑US)[97]
Boeing 747-400,1988,416,"6,000 nmi (11,000 km)",11.11 kg/km (39.4 lb/mi),3.34 L/100 km (70 mpg‑US)[98]
Boeing 747-400,1988,393,"5,503 nmi (10,192 km)",11.82 kg/km (41.9 lb/mi),3.76 L/100 km (62.6 mpg‑US)[93]
Boeing 747-400,1988,487,"5,479 nmi (10,147 km)",12.31 kg/km (43.7 lb/mi),3.16 L/100 km (74 mpg‑US)[93]
Boeing 747-8,2011,467,"6,000 nmi (11,000 km)",10.54 kg/km (37.4 lb/mi),2.82 L/100 km (83 mpg‑US)[88]
Boeing 747-8,2011,405,"7,200 nmi (13,300 km)",10.9 kg/km (39 lb/mi),3.35 L/100 km (70 mpg‑US)[96]
Boeing 777-200ER,1996,304,"5,535 nmi (10,251 km)",7.57 kg/km (26.9 lb/mi),3.11 L/100 km (76 mpg‑US)[93]
Boeing 777-200ER,1996,301,"6,000 nmi (11,000 km)",7.42 kg/km (26.3 lb/mi),3.08 L/100 km (76 mpg‑US)[85]
Boeing 777-200ER,1996,301,"6,000 nmi (11,000 km)",7.44 kg/km (26.4 lb/mi),3.09 L/100 km (76 mpg‑US)[90]
Boeing 777-200LR,2005,291,"4,972 nmi (9,208 km)",7.57 kg/km (26.9 lb/mi),3.25 L/100 km (72 mpg‑US)[86]
Boeing 777-300ER,2003,382,"5,507 nmi (10,199 km)",8.86 kg/km (31.4 lb/mi),2.9 L/100 km (81 mpg‑US)[93]
Boeing 777-300ER,2003,365,"6,000 nmi (11,000 km)",8.49 kg/km (30.1 lb/mi),2.91 L/100 km (81 mpg‑US)[90]
Boeing 777-300ER,2003,344,"7,200 nmi (13,300 km)",8.58 kg/km (30.4 lb/mi),3.11 L/100 km (76 mpg‑US)[96]
Boeing 777-9X,2020,395,"7,200 nmi (13,300 km)",7.69 kg/km (27.3 lb/mi),2.42 L/100 km (97 mpg‑US)[96]
Boeing 787-8,2011,243,"4,650 nmi (8,610 km)",5.38 kg/km (19.1 lb/mi),2.77 L/100 km (85 mpg‑US)[94]
Boeing 787-8 GEnx,2011,220,"5,537 nmi (10,255 km)",5.3 kg/km (19 lb/mi),3.01 L/100 km (78 mpg‑US)[93]
Boeing 787-8 Trent,2011,220,"5,537 nmi (10,255 km)",5.51 kg/km (19.5 lb/mi),3.13 L/100 km (75 mpg‑US)[93]
Boeing 787-9 GEnx,2013,294,"4,650 nmi (8,610 km)",5.85 kg/km (20.8 lb/mi),2.49 L/100 km (94 mpg‑US)[94]
Boeing 787-9,2013,304,"4,972 nmi (9,208 km)",5.63 kg/km (20.0 lb/mi),2.31 L/100 km (102 mpg‑US)[86]
Boeing 787-9 GEnx,2013,266,"5,534 nmi (10,249 km)",5.62 kg/km (19.9 lb/mi),2.64 L/100 km (89 mpg‑US)[93]
Boeing 787-9,2013,291,"6,542 nmi (12,116 km)",7.18 kg/km (25.5 lb/mi),3.08 L/100 km (76 mpg‑US)[95]
Boeing 787-10 GEnx,2017,337,"5,529 nmi (10,240 km)",6.12 kg/km (21.7 lb/mi),2.27 L/100 km (104 mpg‑US)[93]
Boeing 787-10 Trent,2017,337,"5,529 nmi (10,240 km)",6.24 kg/km (22.1 lb/mi),2.31 L/100 km (102 mpg‑US)[93]
